Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Mike Muscala,BOS,31,55,14.6,5.9,2.0,4.6,43.7,1.3,3.3,38.7,0.6,0.7,78.0,0.5,2.6,3.1,0.7,0.3,0.3,0.4,1.6,3.0
Julian Champagnie,SAS,21,9,13.3,5.9,2.2,4.8,46.5,1.3,3.3,40.0,0.1,0.1,100,0.2,2.1,2.3,0.2,0.3,0.1,0.4,1.2,-7.3
Robert Covington,LAC,32,42,16.0,5.9,2.1,4.9,42.7,1.0,2.9,36.1,0.6,0.9,75.0,0.6,2.8,3.4,1.2,0.6,0.8,0.7,1.8,-0.1
Maxi Kleber,DAL,31,32,25.7,5.9,2.1,4.5,46.2,1.0,2.9,34.0,0.7,1.0,66.7,0.9,2.9,3.8,1.3,0.6,0.3,0.8,2.3,-0.8
Wenyen Gabriel,LAL,25,60,15.4,5.9,2.4,4.1,60.1,0.2,0.6,30.3,0.8,1.3,62.5,1.8,2.5,4.3,0.5,0.7,0.4,0.5,2.2,-0.2
Yuta Watanabe,BKN,28,51,16.7,5.8,2.1,4.1,50.5,1.1,2.3,45.8,0.6,0.8,75.6,0.5,1.9,2.5,0.9,0.4,0.5,0.3,1.4,0.5
Stanley Johnson,SAS,26,30,15.6,5.8,2.2,4.1,53.3,0.6,1.3,45.0,0.9,1.3,66.7,0.7,2.4,3.2,2.2,1.1,0.5,0.2,1.6,-3.1
Simone Fontecchio,UTA,27,45,13.4,5.7,1.9,5.3,36.4,1.1,3.3,34.2,0.7,0.9,82.5,0.5,0.9,1.4,0.8,0.7,0.2,0.2,1.1,-4.0
Rodney McGruder,DET,31,32,16.4,5.7,1.9,4.8,40.8,1.3,3.0,42.3,0.6,0.7,81.8,0.6,1.7,2.3,0.9,0.3,0.5,0.0,1.2,-1.4
Charles Bassey,SAS,22,35,14.5,5.7,2.5,3.9,64.4,0.1,0.2,37.5,0.6,1.1,59.5,2.1,3.4,5.5,1.3,1.2,0.5,0.9,2.1,-0.9
Davion Mitchell,SAC,24,73,18.1,5.7,2.3,5.0,45.8,0.8,2.5,32.2,0.3,0.4,79.3,0.2,1.2,1.3,2.3,0.8,0.5,0.2,1.4,0.3
Alex Caruso,CHI,29,60,23.9,5.6,1.9,4.3,45.0,0.8,2.2,36.6,1.0,1.2,80.3,0.6,2.4,3.0,3.0,1.2,1.5,0.6,2.4,2.9
Derrick Rose,NYK,34,27,12.5,5.6,2.3,5.9,38.4,0.7,2.3,30.2,0.4,0.4,91.7,0.3,1.2,1.5,1.7,0.8,0.3,0.2,0.7,-1.1
Ricky Rubio,CLE,32,26,17.3,5.5,2.0,5.3,36.7,0.7,2.6,26.9,0.9,1.2,77.4,0.3,2.0,2.2,3.5,1.0,0.9,0.2,1.5,2.3
Otto Porter Jr.,TOR,29,8,18.3,5.5,1.9,3.8,50.0,0.8,2.1,35.3,1.0,1.0,100,0.8,1.6,2.4,1.0,0.5,1.4,0.0,0.9,-2.6
Javonte Green,CHI,29,30,15.5,5.5,2.0,3.5,58.1,0.4,1.1,38.2,1.0,1.4,67.4,0.9,1.9,2.8,0.8,0.7,0.8,0.7,1.7,1.8
Nikola Jovic,MIA,19,15,13.6,5.5,1.9,4.6,40.6,0.5,2.3,22.9,1.2,1.3,94.7,0.6,1.5,2.1,0.7,0.7,0.5,0.1,1.3,-1.1
Montrezl Harrell,PHI,29,52,12.1,5.4,2.2,3.6,59.9,0.0,0.0,0.0,1.1,1.6,69.4,1.2,1.5,2.7,0.6,0.6,0.3,0.5,1.4,-0.2
Lamar Stevens,CLE,25,55,17.7,5.4,2.1,4.6,46.6,0.5,1.5,32.5,0.7,0.9,72.5,0.7,2.4,3.2,0.5,0.4,0.4,0.3,1.2,0.3
Theo Maledon,CHA,21,37,16.3,5.4,1.8,4.4,40.4,0.6,1.7,32.8,1.3,1.5,87.5,0.2,2.1,2.4,2.4,0.9,0.7,0.2,1.1,-3.5
Josh Christopher,HOU,21,56,11.6,5.4,2.2,4.8,45.5,0.4,1.4,26.0,0.7,0.9,76.9,0.3,0.8,1.1,1.1,0.9,0.4,0.2,0.9,-4.0
Saben Lee,PHX,23,22,13.7,5.3,1.7,4.0,42.0,0.3,0.9,35.0,1.6,2.1,76.6,0.5,1.2,1.7,2.5,1.0,0.7,0.0,1.2,-0.2
Rudy Gay,UTA,36,56,14.6,5.2,1.9,5.1,37.8,0.6,2.3,25.2,0.8,0.9,85.7,0.6,2.3,2.9,1.0,0.7,0.3,0.3,1.2,1.0
Ousmane Dieng,OKC,19,31,15.1,5.2,2.1,4.9,42.4,0.8,2.6,29.6,0.3,0.5,58.8,0.5,2.4,2.8,1.1,0.6,0.4,0.2,1.1,0.7
MarJon Beauchamp,MIL,22,45,13.3,5.2,1.9,4.8,40.2,0.9,2.8,32.3,0.5,0.7,69.7,0.8,1.4,2.2,0.6,0.8,0.4,0.1,1.4,-1.4
Vlatko Cancar,DEN,25,53,15.2,5.2,1.9,3.9,49.0,0.8,2.0,40.0,0.6,0.6,93.8,0.4,1.8,2.2,1.4,0.6,0.3,0.2,1.5,-0.7
Jalen Johnson,ATL,21,64,14.5,5.2,2.0,4.3,48.0,0.4,1.4,29.2,0.7,1.0,65.2,0.7,3.2,3.9,1.0,0.5,0.5,0.4,1.5,-0.2
Dewayne Dedmon,PHI,33,35,10.9,5.2,2.0,3.9,50.4,0.3,1.1,28.9,0.9,1.3,69.6,0.9,2.5,3.4,0.5,0.6,0.2,0.5,1.9,-3.5
John Konchar,MEM,27,65,21.0,5.2,1.9,4.5,42.7,0.9,2.6,35.1,0.4,0.5,81.8,0.8,3.4,4.3,1.3,0.5,1.0,0.3,1.6,3.2
