Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Joel Bolomboy,MIL,24,F-C,5,2,30.4,1.0,1.4,71.4,54.9,16.5,6.3,0
Damien Wilkins,IND,38,G-F,15,9,41.2,0.7,1.4,47.6,55.2,-7.6,8.0,0.1
Darrun Hilliard,SAS,25,G,11,8,37.5,1.0,1.4,73.3,54.2,19.2,6.8,0
Caleb Swanigan,POR,21,F-C,22,12,40.0,0.7,1.4,50.0,56.4,-6.4,7.0,0.1
Alfonzo McKinnie,TOR,25,F,9,6,57.1,0.7,1.3,50.0,52.4,-2.4,3.8,0
Vander Blue,LAL,25,G,3,3,36.4,0.3,1.3,25.0,51.6,-26.6,9.0,0
Udonis Haslem,MIA,38,F,11,10,48.3,0.6,1.3,42.9,56.7,-13.9,5.1,0.1
Omari Johnson,MEM,29,F,4,2,25.0,0.8,1.3,60.0,57.6,2.4,18.8,0
Kay Felder,DET,23,G,13,8,34.8,0.8,1.2,68.8,58.1,10.7,8.8,0.1
Julyan Stone,CHA,29,G,15,10,34.6,0.9,1.2,77.8,55.8,22.0,7.6,0.0
James Young,PHI,22,G-F,5,4,31.6,0.4,1.2,33.3,52.4,-19.1,10.2,0
Aaron Brooks,MIN,33,G,18,11,32.8,0.8,1.1,70.0,55.0,15.0,5.9,0
Malachi Richardson,TOR,22,G,25,16,29.3,0.7,1.1,63.0,58.3,4.6,12.4,0.0
Bobby Brown,HOU,33,G,14,11,42.9,0.6,1.1,60.0,52.1,7.9,5.8,0
Jeremy Evans,ATL,30,F,1,1,33.3,1.0,1.0,100,56.3,43.7,NaN,NaN
David Stockton,UTA,27,G,2,2,50.0,0.5,1.0,50.0,53.4,-3.4,NaN,NaN
Tim Quarterman,HOU,23,G,3,2,50.0,0.3,1.0,33.3,37.5,-4.2,NaN,NaN
Kyle Singler,OKC,30,F,7,6,63.6,0.6,1.0,57.1,59.6,-2.5,4.9,0
Jacob Pullen,PHI,28,G,1,1,50.0,1.0,1.0,100,47.1,52.9,NaN,NaN
Xavier Munford,MIL,26,G,5,5,71.4,1.0,1.0,100,51.8,48.2,NaN,NaN
