Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Isaiah Thomas,BOS,27,G,81,79,58.1,1.6,4.7,34.1,37.0,-2.8,32.2,1.1,0.0,0.09
JR Smith,CLE,30,G-F,77,76,63.3,1.8,4.7,37.6,37.1,0.5,30.7,1.1,0.1,0.03
Dion Waiters,OKC,24,G,78,77,56.1,1.7,4.7,35.7,36.9,-1.2,27.6,1.0,0.1,0
Kobe Bryant,LAL,37,F-G,66,66,62.6,1.8,4.7,38.3,36.9,1.3,28.2,0.9,0.1,0
Robert Covington,PHI,25,F,67,63,50.0,1.6,4.7,34.7,37.1,-2.3,28.4,1.6,0.2,0.04
Julius Randle,LAL,21,F,81,78,41.4,1.7,4.7,36.5,37.4,-0.9,28.2,0.7,0.0,0.02
Ben McLemore,SAC,23,G,67,66,59.9,1.6,4.7,35.3,37.4,-2.2,21.2,0.8,0.1,0
Harrison Barnes,GSW,24,F,66,65,46.9,1.9,4.6,40.5,36.7,3.9,30.9,0.6,0.1,0
Terrence Ross,TOR,25,F-G,72,72,59.6,1.6,4.6,35.4,36.6,-1.2,23.9,0.7,0.2,0
Markieff Morris,WAS,26,F,64,62,46.9,1.6,4.6,35.5,37.6,-2.1,25.5,0.9,0.2,0.11
Patrick Patterson,TOR,27,F,78,76,52.5,1.6,4.6,36.1,36.7,-0.5,25.6,0.7,0.1,0.03
Mike Dunleavy,CHI,35,G-F,31,31,60.3,1.7,4.5,37.6,36.3,1.3,22.7,0.5,0.0,0.16
Danny Green,SAS,29,G-F,79,79,48.1,1.8,4.5,40.1,37.2,2.9,26.1,1.0,0.3,0.06
Al-Farouq Aminu,POR,25,F,82,79,49.3,1.7,4.5,38.0,37.1,0.9,28.5,0.9,0.2,0.01
Omri Casspi,SAC,28,F,68,64,50.5,1.6,4.5,36.6,36.9,-0.3,27.2,0.8,0.1,0.03
Jahlil Okafor,PHI,20,C,53,50,32.4,1.9,4.5,41.6,38.8,2.8,30.0,0.4,0.4,0
Joakim Noah,CHI,31,C,29,29,43.0,1.7,4.5,36.9,36.8,0.1,21.9,0.6,0.4,0.03
Kyrie Irving,CLE,24,G,53,52,51.9,1.6,4.5,36.9,36.5,0.4,31.5,1.1,0.1,0.09
Gordon Hayward,UTA,26,F,80,79,57.4,1.7,4.4,39.2,37.2,2.0,36.2,1.2,0.1,0
Marcin Gortat,WAS,32,C,75,68,29.2,1.7,4.4,37.8,38.0,-0.3,30.1,0.6,0.4,0.12
Will Barton,DEN,25,F-G,82,80,48.7,1.5,4.4,34.9,36.3,-1.4,28.7,0.9,0.1,0.01
Thabo Sefolosha,ATL,32,F,75,73,56.4,1.3,4.4,29.1,37.0,-8.0,23.4,1.1,0.2,0.01
Gerald Green,MIA,30,F,69,67,59.4,1.5,4.4,34.9,36.7,-1.8,22.6,0.6,0.1,0.01
Allen Crabbe,POR,24,G,81,79,59.9,1.6,4.3,37.8,37.3,0.4,26.0,0.8,0.1,0
Kelly Olynyk,BOS,25,C-F,68,66,43.4,1.4,4.3,32.8,36.9,-4.1,20.2,0.8,0.2,0.09
Rondae Hollis-Jefferson,BKN,21,G-F,29,28,48.8,1.8,4.3,40.5,36.8,3.7,21.2,1.3,0.2,0
Hollis Thompson,PHI,25,G-F,77,75,50.8,1.6,4.3,36.8,36.5,0.3,28.0,0.5,0.2,0.05
Josh Richardson,MIA,22,G,47,41,52.0,1.7,4.3,38.7,37.3,1.5,21.3,0.7,0.1,0.06
Al Horford,ATL,30,C-F,82,81,31.2,1.6,4.3,37.0,38.2,-1.2,32.1,0.8,0.5,0.01
Corey Brewer,HOU,30,G-F,82,81,58.6,1.6,4.3,37.1,36.6,0.5,20.4,1.0,0.1,0.21
Tony Allen,MEM,34,G-F,64,63,62.5,1.6,4.3,36.4,37.2,-0.8,25.3,1.7,0.1,0.02
Frank Kaminsky,CHA,23,C,80,76,46.4,1.7,4.3,39.9,37.4,2.6,21.1,0.5,0.1,0.02
J.J. Barea,DAL,32,G,74,72,65.0,1.6,4.3,38.2,37.0,1.2,22.5,0.4,0.0,0.01
Jeremy Lamb,CHA,24,G,66,64,62.5,1.4,4.3,33.7,36.6,-3.0,18.6,0.6,0.2,0
Eric Gordon,NOP,27,G,45,44,54.9,1.5,4.3,35.4,37.4,-2.0,32.9,1.0,0.1,0
Shane Larkin,BKN,23,G,77,75,57.7,1.6,4.3,36.5,36.5,0.0,22.4,1.2,0.1,0.03
Tristan Thompson,CLE,25,C-F,81,80,33.9,1.6,4.3,36.9,37.3,-0.4,27.7,0.5,0.2,0
Iman Shumpert,CLE,26,G,54,54,59.2,1.7,4.2,39.7,36.8,3.0,24.4,1.0,0.2,0
Tyler Johnson,MIA,24,G,36,36,50.3,1.6,4.2,36.8,36.8,0.1,24.0,0.7,0.1,0.03
Dwyane Wade,MIA,34,G,74,73,56.9,1.5,4.2,35.7,36.4,-0.7,30.5,1.1,0.3,0.01
O.J. Mayo,MIL,28,G,41,38,59.1,1.2,4.2,29.1,37.2,-8.2,26.6,1.2,0.1,0.05
Marco Belinelli,SAC,30,G-F,67,65,59.8,1.5,4.2,36.3,36.7,-0.4,24.6,0.5,0.0,0
Luc Mbah a Moute,LAC,29,F,66,65,53.0,1.1,4.1,27.6,36.7,-9.1,17.2,0.6,0.1,0.01
Andre Iguodala,GSW,32,G-F,65,63,55.4,1.5,4.1,35.4,36.9,-1.5,26.6,1.1,0.1,0
Russell Westbrook,OKC,27,G,80,79,55.3,1.6,4.1,38.9,37.9,1.0,34.4,2.0,0.0,0.05
Luke Babbitt,NOP,27,F,42,41,49.3,1.6,4.1,40.1,36.2,3.9,18.0,0.2,0.1,0
Nerlens Noel,PHI,22,F-C,67,65,32.9,1.7,4.1,40.9,37.5,3.4,29.3,1.8,0.5,0.1
James Ennis III,NOP,25,F,15,14,61.6,1.6,4.1,39.3,35.8,3.6,14.9,0.7,0.2,0.05
