Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Tyler Cook,DET,23,F,29,29,100,2.5,5.2,47.7,46.9,0.7,13.7,0.2,0.0,0
Bruno Caboclo,HOU,25,F,5,5,100,2.2,5.2,42.3,45.4,-3.1,NaN,NaN,NaN,NaN
Kelan Martin,IND,25,F,26,26,100,2.2,5.2,43.0,45.6,-2.7,9.2,0.3,0.1,0
Nico Mannion,GSW,20,G,24,24,100,2.8,5.2,54.8,45.1,9.7,12.1,0.5,0.0,0.03
Lamar Stevens,CLE,23,F,37,37,100,2.3,5.1,44.7,45.8,-1.0,12.5,0.4,0.1,0.03
Andre Roberson,BKN,29,G-F,5,5,100,2.0,5.0,40.0,44.8,-4.8,12.6,0.6,0.0,0
Axel Toupane,MIL,28,G-F,5,5,100,1.6,5.0,32.0,41.0,-9.0,7.6,0.2,0.2,0
Tim Frazier,MEM,30,G,4,4,100,1.5,5.0,30.0,42.4,-12.4,12.4,0.4,0.2,0
Zeke Nnaji,DEN,20,F-C,36,36,100,2.5,5.0,49.7,46.0,3.7,9.5,0.2,0.0,0
Tyrese Maxey,PHI,20,G,58,58,100,2.4,4.9,49.3,44.0,5.3,15.3,0.4,0.1,0.02
Mamadi Diakite,MIL,24,F,12,12,100,1.6,4.9,32.2,46.1,-13.9,10.1,0.4,0.1,0.14
Nicolo Melli,DAL,30,F,41,41,100,2.4,4.9,49.3,45.7,3.5,12.6,0.3,0.0,0
Isaac Bonga,WAS,21,G,38,38,100,2.1,4.8,43.4,46.0,-2.6,10.8,0.3,0.1,0.07
Alize Johnson,BKN,25,F,14,14,100,2.4,4.8,50.7,45.6,5.1,10.5,0.3,0.1,0.06
Yogi Ferrell,LAC,28,G,9,9,100,1.8,4.8,37.2,43.0,-5.8,13.7,0.7,0.0,0
Jordan Nwora,MIL,22,F,22,22,100,2.1,4.8,43.8,45.0,-1.2,9.1,0.6,0.1,0.03
Jalen Harris,TOR,22,G,13,13,100,2.1,4.8,43.5,46.3,-2.7,13.2,0.6,0,0
Jake Layman,MIN,27,F,43,43,100,2.5,4.7,52.5,46.1,6.4,13.9,0.6,0.2,0.04
Sindarius Thornwell,ORL,26,G,16,16,100,2.1,4.7,45.3,45.4,-0.1,10.3,0.6,0.0,0
Javonte Green,CHI,27,G-F,34,34,100,2.3,4.7,49.7,45.2,4.5,11.6,0.7,0.1,0
Thanasis Antetokounmpo,MIL,28,F,46,46,100,2.0,4.6,42.5,45.8,-3.3,9.7,0.4,0.1,0.04
Chris Chiozza,BKN,25,G,20,20,100,2.0,4.6,43.5,44.2,-0.7,10.5,0.3,0.2,0
JJ Redick,DAL,37,G,43,43,100,2.3,4.6,49.5,45.2,4.2,16.4,0.2,0.0,0.18
Miye Oni,UTA,23,G-F,47,47,100,1.8,4.6,39.8,44.5,-4.7,9.6,0.2,0.1,0
Trey Burke,DAL,28,G,56,56,100,2.1,4.6,45.1,43.7,1.5,14.7,0.6,0.1,0.02
Nathan Knight,ATL,23,F-C,28,28,100,1.9,4.6,40.6,46.3,-5.7,8.5,0.3,0.1,0
Shaquille Harrison,DEN,27,G,29,29,100,2.2,4.5,49.2,45.4,3.8,9.8,0.5,0.1,0
Obi Toppin,NYK,23,F,60,60,100,1.9,4.5,42.8,46.8,-4.0,11.0,0.3,0.1,0.02
Rodney McGruder,DET,29,G,14,14,100,2.4,4.5,54.0,46.1,7.9,12.1,0.5,0.0,0
Norvel Pelle,NYK,28,C,8,8,100,1.9,4.5,41.7,49.8,-8.2,6.4,0.1,0.3,0
Bruno Fernando,ATL,22,F-C,28,28,100,2.0,4.4,46.0,48.5,-2.5,6.8,0.1,0.0,0
Justin James,SAC,24,G-F,26,26,100,2.4,4.4,54.8,43.9,10.9,8.6,0.2,0.0,0.03
Paul Watson,TOR,26,G,22,22,100,1.9,4.4,43.3,45.7,-2.4,11.0,0.2,0.0,0.04
Frank Ntilikina,NYK,22,G,24,24,100,2.2,4.4,49.5,46.4,3.1,9.8,0.5,0.0,0.06
Anthony Tolliver,PHI,36,F,8,8,100,1.6,4.4,37.1,46.3,-9.2,9.0,0.3,0.0,0.09
Darius Miller,OKC,31,F,15,15,100,1.6,4.3,36.9,46.8,-9.9,10.9,0.7,0.1,0
Anthony Gill,WAS,28,F,19,19,100,1.6,4.3,37.8,43.5,-5.7,8.4,0.4,0.1,0.04
Isaiah Joe,PHI,21,G,34,34,100,2.2,4.3,50.3,43.5,6.8,9.3,0.3,0.1,0.07
Trent Forrest,UTA,23,G,25,25,100,2.2,4.2,50.9,44.5,6.4,10.1,0.3,0.1,0
Killian Tillie,MEM,23,F-C,14,14,100,1.4,4.2,32.2,45.7,-13.5,10.1,0.3,0.2,0
Keita Bates-Diop,SAS,25,F,23,23,100,2.0,4.2,49.0,46.7,2.2,8.2,0.4,0.0,0
Mfiondu Kabengele,CLE,23,F-C,33,33,100,1.7,4.2,40.9,47.6,-6.8,7.2,0.2,0.1,0
Justin Robinson,OKC,23,G,7,7,100,2.3,4.1,55.2,43.8,11.4,9.8,0.3,0,0.22
Jordan Bone,ORL,23,G,11,11,100,2.0,4.1,48.9,45.0,3.9,14.0,0.1,0,0
Daniel Oturu,LAC,21,C,19,19,100,1.5,4.0,37.7,45.4,-7.7,5.4,0.1,0.1,0.03
Paul Reed,PHI,22,F,21,21,100,1.5,4.0,37.6,47.6,-9.9,6.8,0.4,0.2,0
Josh Green,DAL,20,G,32,32,100,2.2,4.0,53.5,44.2,9.3,11.4,0.4,0.1,0.03
Meyers Leonard,MIA,29,F-C,3,3,100,2.0,4.0,50.0,48.5,1.5,NaN,NaN,NaN,NaN
Malik Fitts,LAC,23,F,1,1,100,2.0,4.0,50.0,43.6,6.5,NaN,NaN,NaN,NaN
Mason Jones,PHI,22,G,28,28,100,1.9,3.9,49.1,44.5,4.6,10.4,0.2,0.0,0
Jevon Carter,PHX,25,G,57,57,100,1.9,3.9,48.0,45.7,2.2,11.9,0.5,0.1,0
Kevin Knox II,NYK,21,F,37,37,100,1.7,3.9,44.1,44.6,-0.5,11.0,0.3,0.0,0
Amir Coffey,LAC,24,G-F,28,28,100,1.6,3.8,42.1,44.2,-2.1,9.0,0.2,0,0
Karim Mane,ORL,21,G,9,9,100,1.8,3.8,47.1,43.3,3.8,8.8,0,0.0,0
Jeremiah Martin,CLE,25,G,8,8,100,1.8,3.8,46.7,44.8,1.8,8.3,0.6,0.2,0
Devin Cannady,ORL,25,G,4,4,100,1.8,3.8,46.7,47.5,-0.8,9.2,0.6,0.1,0
Jalen Smith,PHX,21,F-C,19,19,100,2.0,3.7,53.5,46.5,7.0,5.8,0.0,0.0,0
Ryan Arcidiacono,CHI,27,G,41,41,100,1.6,3.7,44.4,43.8,0.5,10.2,0.2,0,0.2
Quinndary Weatherspoon,SAS,24,G,14,14,100,2.2,3.6,62.0,43.6,18.4,6.0,0.4,0.1,0.05
Quinn Cook,CLE,28,G,20,20,100,1.6,3.5,46.5,42.8,3.6,6.8,0.2,0.0,0
Tremont Waters,BOS,23,G,21,21,100,1.6,3.5,45.9,43.0,2.9,9.2,0.6,0.0,0
Sam Merrill,MIL,25,G,22,22,100,1.6,3.5,44.2,44.4,-0.2,7.8,0.3,0.0,0.03
Rondae Hollis-Jefferson,POR,26,F,10,10,100,1.4,3.5,40.0,45.0,-5.0,9.7,0.2,0.0,0
Vlatko Cancar,DEN,24,F,31,31,100,1.8,3.4,53.8,46.4,7.4,6.9,0.3,0.0,0
Alfonzo McKinnie,LAL,28,F,27,27,100,1.7,3.4,51.1,44.8,6.3,6.6,0.2,0,0.1
Rodions Kurucs,MIL,23,F,15,15,100,1.7,3.4,49.0,45.2,3.9,6.0,0.4,0.0,0
Amida Brimah,IND,27,C,5,5,100,1.8,3.4,52.9,51.8,1.1,NaN,NaN,NaN,NaN
Carsen Edwards,BOS,23,G,25,25,100,1.7,3.4,51.2,46.0,5.2,8.9,0.2,0.0,0
Juwan Morgan,UTA,24,F,18,18,100,1.4,3.3,42.4,45.8,-3.4,5.1,0.1,0.0,0
Langston Galloway,PHX,29,G,37,37,100,1.5,3.2,45.4,44.9,0.5,10.9,0.2,0,0.03
Deividas Sirvydis,DET,21,F-G,16,16,100,1.6,3.2,51.0,45.4,5.6,6.7,0.1,0,0
Matt Thomas,UTA,26,G,36,36,100,1.9,3.2,59.1,45.5,13.7,7.3,0.1,0,0
Jared Dudley,LAL,35,F,11,11,100,1.4,3.2,45.7,44.2,1.5,6.8,0.1,0.0,0
Skylar Mays,ATL,23,G,27,27,100,1.4,3.1,43.5,43.6,-0.1,8.2,0.4,0.0,0.03
Jahmi'us Ramsey,SAC,20,G,11,11,100,1.3,3.1,41.2,41.0,0.2,7.2,0.3,0.0,0
Kyle Guy,SAC,23,G,25,25,100,1.6,3.1,53.2,45.2,8.1,7.6,0.2,0,0.03
Vincent Poirier,PHI,27,C-F,8,8,100,1.0,3.0,33.3,42.5,-9.1,NaN,NaN,NaN,NaN
Cassius Winston,WAS,23,G,11,11,100,1.4,3.0,48.5,43.4,5.0,4.5,0.1,0.0,0
Tyler Bey,DAL,23,F,15,15,100,1.7,3.0,57.8,42.4,15.4,3.9,0,0.1,0
Cristiano Felicio,CHI,28,F-C,13,13,100,1.6,3.0,53.8,45.7,8.2,4.7,0.2,0,0
Tre Jones,SAS,21,G,29,29,100,1.5,3.0,49.4,44.9,4.6,7.3,0.2,0,0
Markus Howard,DEN,22,G,27,27,100,1.4,2.9,46.8,45.9,0.9,5.5,0.1,0.0,0.03
Nick Richards,CHA,23,C,11,11,100,1.2,2.9,40.6,45.0,-4.4,3.5,0,0,0
Vernon Carey Jr.,CHA,20,F-C,17,17,100,1.1,2.9,36.7,46.2,-9.5,6.1,0.1,0.1,0
CJ Elleby,POR,21,F-G,22,22,100,1.1,2.7,38.3,44.2,-5.8,6.4,0.2,0.1,0.03
Bol Bol,DEN,21,C-F,24,24,100,1.5,2.7,53.8,45.1,8.7,5.0,0.1,0.1,0
Udoka Azubuike,UTA,21,C-F,12,12,100,1.0,2.7,37.5,47.4,-9.9,3.8,0.1,0.2,0
Ty-Shon Alexander,PHX,22,G,8,8,100,0.9,2.6,33.3,44.2,-10.9,NaN,NaN,NaN,NaN
Gary Payton II,GSW,28,G,7,7,100,0.9,2.6,33.3,44.1,-10.8,NaN,NaN,NaN,NaN
Devontae Cacok,LAL,24,F,18,18,100,0.8,2.5,33.3,44.9,-11.5,4.9,0.2,0.1,0
Kostas Antetokounmpo,LAL,23,F,11,11,100,1.1,2.5,44.4,46.2,-1.8,3.7,0.1,0.0,0
T.J. Leaf,POR,24,F,7,7,100,0.6,2.4,23.5,44.2,-20.7,NaN,NaN,NaN,NaN
Devon Dotson,CHI,21,G,7,7,100,0.7,2.4,29.4,42.6,-13.2,NaN,NaN,NaN,NaN
Rayjon Tucker,PHI,23,G,10,10,100,1.1,2.4,45.8,44.2,1.7,4.9,0.1,0,0.14
Jarrell Brantley,UTA,25,F,20,20,100,1.1,2.4,43.8,46.4,-2.7,4.9,0.2,0.0,0
Marques Bolden,CLE,23,C,4,4,100,0.5,2.3,22.2,43.4,-21.2,NaN,NaN,NaN,NaN
Patrick McCaw,TOR,25,G,5,5,100,1.0,2.2,45.5,46.4,-1.0,NaN,NaN,NaN,NaN
Nate Darling,CHA,22,G,4,4,100,1.3,2.0,62.5,40.6,21.9,NaN,NaN,NaN,NaN
Brian Bowen II,IND,22,F-G,1,1,100,1.0,2.0,50.0,43.5,6.5,NaN,NaN,NaN,NaN
Cassius Stanley,IND,21,G,16,16,100,0.8,2.0,37.5,44.9,-7.4,3.9,0.0,0.1,0
Iman Shumpert,BKN,31,G,2,2,100,0.5,2.0,25.0,47.0,-22.0,NaN,NaN,NaN,NaN
Jaylen Adams,MIL,25,G,2,2,100,1.5,2.0,75.0,45.7,29.4,NaN,NaN,NaN,NaN
Noah Vonleh,BKN,25,F,4,4,100,1.5,2.0,75.0,46.2,28.8,NaN,NaN,NaN,NaN
Adam Mokoka,CHI,22,G,6,6,100,0.7,1.8,36.4,46.5,-10.1,NaN,NaN,NaN,NaN
